AIRPORT_ID,AIRPORT_SEQ_ID,CITY_MARKET_ID,ORIGIN_DESTINATION,CITY_NAME,STATE_ABR,STATE_FIPS,STATE_NM,WAC
12003,1200302,31895,GTF,"Great Falls, MT",MT,30,Montana,84
12012,1201203,32012,GUC,"Gunnison, CO",CO,8,Colorado,82
12094,1209402,34699,HDN,"Hayden, CO",CO,8,Colorado,82
12156,1215603,32156,HLN,"Helena, MT",MT,30,Montana,84
12173,1217302,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2
12191,1219102,31453,HOU,"Houston, TX",TX,48,Texas,74
12217,1221702,30255,HSV,"Huntsville, AL",AL,1,Alabama,51
12255,1225502,32255,HYS,"Hays, KS",KS,20,Kansas,62
12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38
12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74
12278,1227803,30928,ICT,"Wichita, KS",KS,20,Kansas,62
12280,1228002,32280,IDA,"Idaho Falls, ID",ID,16,Idaho,83
12339,1233904,32337,IND,"Indianapolis, IN",IN,18,Indiana,42
12389,1238902,32389,ISN,"Williston, ND",ND,38,North Dakota,66
12441,1244102,32441,JAC,"Jackson, WY",WY,56,Wyoming,88
12448,1244805,32448,JAN,"Jackson/Vicksburg, MS",MS,28,Mississippi,53
12451,1245102,31136,JAX,"Jacksonville, FL",FL,12,Florida,33
12478,1247803,31703,JFK,"New York, NY",NY,36,New York,22
12519,1251902,32519,JMS,"Jamestown, ND",ND,38,North Dakota,66
12544,1254403,32544,USA,"CONCORD, NC",NC,37,North Carolina,36
12758,1275803,32758,KOA,"Kona, HI",HI,15,Hawaii,2
12888,1288802,32888,LAR,"Laramie, WY",WY,56,Wyoming,88
12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
12891,1289102,32891,LAW,"Lawton/Fort Sill, OK",OK,40,Oklahoma,73
12892,1289205,32575,LAX,"Los Angeles, CA",CA,6,California,91
12896,1289605,32896,LBB,"Lubbock, TX",TX,48,Texas,74
12899,1289902,32899,LBF,"North Platte, NE",NE,31,Nebraska,65
12902,1290203,32902,LBL,"Liberal, KS",KS,20,Kansas,62
12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22
12954,1295403,32575,LGB,"Long Beach, CA",CA,6,California,91
12982,1298202,32982,LIH,"Lihue, HI",HI,15,Hawaii,2
12992,1299204,32600,LIT,"Little Rock, AR",AR,5,Arkansas,71
13029,1302902,33029,LNK,"Lincoln, NE",NE,31,Nebraska,65
13158,1315803,33158,MAF,"Midland/Odessa, TX",TX,48,Texas,74
13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64
13200,1320002,33200,MCK,"McCook, NE",NE,31,Nebraska,65
13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33
13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41
13244,1324402,33244,MEM,"Memphis, TN",TN,47,Tennessee,54
13264,1326403,33264,MFR,"Medford, OR",OR,41,Oregon,92
13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33
13341,1334102,33198,MKC,"Kansas City, MO",MO,29,Missouri,64
13342,1334205,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45
13367,1336703,33367,MLI,"Moline, IL",IL,17,Illinois,41
13433,1343302,33304,MOT,"Minot, ND",ND,38,North Dakota,66
13485,1348502,33485,MSN,"Madison, WI",WI,55,Wisconsin,45
13486,1348602,33486,MSO,"Missoula, MT",MT,30,Montana,84
13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63
13495,1349503,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72
13502,1350202,33502,MTJ,"Montrose/Delta, CO",CO,8,Colorado,82
13796,1379604,32457,OAK,"Oakland, CA",CA,6,California,91
13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2
13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73
13871,1387102,33316,OMA,"Omaha, NE",NE,31,Nebraska,65
13891,1389101,32575,ONT,"Ontario, CA",CA,6,California,91
13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41
13931,1393102,33667,ORF,"Norfolk, VA",VA,51,Virginia,38
13964,1396403,33964,OTH,"North Bend/Coos Bay, OR",OR,41,Oregon,92
14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92
14081,1408102,34081,PGA,"Page, AZ",AZ,4,Arizona,81
14100,1410002,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23
14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81
14120,1412002,34120,PIR,"Pierre, SD",SD,46,South Dakota,67
14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23
14193,1419304,33728,PNS,"Pensacola, FL",FL,12,Florida,33
14252,1425202,34252,PSC,"Pasco/Kennewick/Richland, WA",WA,53,Washington,93
14262,1426204,34262,PSP,"Palm Springs, CA",CA,6,California,91
14275,1427502,34275,PTK,"Pontiac, MI",MI,26,Michigan,43
14288,1428803,34288,PUB,"Pueblo, CO",CO,8,Colorado,82
14457,1445702,34457,RAP,"Rapid City, SD",SD,46,South Dakota,67
14489,1448902,34489,RDM,"Bend/Redmond, OR",OR,41,Oregon,92
14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36
14512,1451202,34512,RFD,"Rockford, IL",IL,17,Illinois,41
14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38
14534,1453402,34534,RIW,"Riverton/Lander, WY",WY,56,Wyoming,88
14543,1454302,34543,RKS,"Rock Springs, WY",WY,56,Wyoming,88
14570,1457002,34570,RNO,"Reno, NV",NV,32,Nevada,85
14576,1457604,34576,ROC,"Rochester, NY",NY,36,New York,22
14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33
14674,1467402,34674,SAF,"Santa Fe, NM",NM,35,New Mexico,86
14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91
14683,1468303,33214,SAT,"San Antonio, TX",TX,48,Texas,74
14689,1468902,34689,SBA,"Santa Barbara, CA",CA,6,California,91
14698,1469802,34236,SBP,"San Luis Obispo, CA",CA,6,California,91
14730,1473003,33044,SDF,"Louisville, KY",KY,21,Kentucky,52
14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93
14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91
14783,1478302,34783,SGF,"Springfield, MO",MO,29,Missouri,64
14792,1479201,34792,SGR,"Sugar Land, TX",TX,48,Texas,74
14794,1479403,34794,SGU,"St. George, UT",UT,49,Utah,87
14814,1481402,30476,SHV,"Shreveport, LA",LA,22,Louisiana,72
14831,1483104,32457,SJC,"San Jose, CA",CA,6,California,91
14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87
14877,1487704,34877,SLN,"Salina, KS",KS,20,Kansas,62
14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91
14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91
15016,1501603,31123,STL,"St. Louis, MO",MO,29,Missouri,64
15041,1504102,35041,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,16,Idaho,83
15177,1517702,35177,TEX,"Telluride, CO",CO,8,Colorado,82
15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33
15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73
15376,1537602,30436,TUS,"Tucson, AZ",AZ,4,Arizona,81
15412,1541203,35412,TYS,"Knoxville, TN",TN,47,Tennessee,54
15570,1557001,35570,VCV,"Victorville, CA",CA,6,California,91
15582,1558202,35582,VEL,"Vernal, UT",UT,49,Utah,87
15919,1591902,31834,XNA,"Fayetteville, AR",AR,5,Arkansas,71
16091,1609103,31295,YIP,"Detroit, MI",MI,26,Michigan,43
